time,level
2025-02-15 05:51:00,rem
2025-02-15 05:52:00,rem
2025-02-15 05:52:00,rem
2025-02-15 05:53:00,rem
2025-02-15 05:53:00,rem
2025-02-15 05:54:00,rem
2025-02-15 05:54:00,rem
2025-02-15 05:55:00,rem
2025-02-15 05:55:00,rem
2025-02-15 05:56:00,rem
2025-02-15 05:56:00,rem
2025-02-15 05:57:00,rem
2025-02-15 05:57:00,rem
2025-02-15 05:58:00,rem
2025-02-15 05:58:00,rem
2025-02-15 05:59:00,rem
2025-02-15 05:59:00,rem
2025-02-15 06:00:00,rem
2025-02-15 06:00:00,rem
2025-02-15 06:01:00,rem
2025-02-15 06:01:00,rem
2025-02-15 06:02:30,wake
2025-02-15 06:02:30,wake
2025-02-15 06:03:30,wake
2025-02-15 06:03:30,wake
2025-02-15 06:04:30,wake
2025-02-15 06:04:30,wake
2025-02-15 06:05:30,wake
2025-02-15 06:05:30,wake
2025-02-15 06:06:30,wake
2025-02-15 06:06:30,wake
2025-02-15 06:08:00,light
2025-02-15 06:08:00,light
2025-02-15 06:09:00,light
2025-02-15 06:09:00,light
2025-02-15 06:10:00,light
2025-02-15 06:10:00,light
2025-02-15 06:11:00,light
2025-02-15 06:11:00,light
2025-02-15 06:12:00,light
2025-02-15 06:12:00,light
2025-02-15 06:13:30,wake
2025-02-15 06:13:30,wake
2025-02-15 06:14:30,wake
2025-02-15 06:14:30,wake
2025-02-15 06:15:30,wake
2025-02-15 06:15:30,wake
2025-02-15 06:16:30,wake
2025-02-15 06:16:30,wake
2025-02-15 06:17:30,wake
2025-02-15 06:17:30,wake
2025-02-15 06:18:30,light
2025-02-15 06:18:30,light
2025-02-15 06:19:30,light
2025-02-15 06:19:30,light
2025-02-15 06:20:30,light
2025-02-15 06:20:30,light
2025-02-15 06:21:30,light
2025-02-15 06:21:30,light
2025-02-15 06:22:30,light
2025-02-15 06:22:30,light
2025-02-15 06:23:30,light
2025-02-15 06:23:30,light
2025-02-15 06:24:30,light
2025-02-15 06:24:30,light
2025-02-15 06:25:30,light
2025-02-15 06:25:30,light
2025-02-15 06:26:30,light
2025-02-15 06:26:30,light
2025-02-15 06:27:30,light
2025-02-15 06:27:30,light
2025-02-15 06:28:30,light
2025-02-15 06:28:30,light
2025-02-15 06:29:30,light
2025-02-15 06:29:30,light
2025-02-15 06:30:30,light
2025-02-15 06:30:30,light
2025-02-15 06:31:30,light
2025-02-15 06:31:30,light
2025-02-15 06:32:30,light
2025-02-15 06:32:30,light
2025-02-15 06:33:30,light
2025-02-15 06:33:30,light
2025-02-15 06:34:30,light
2025-02-15 06:34:30,light
2025-02-15 06:35:30,light
2025-02-15 06:35:30,light
2025-02-15 06:36:30,light
2025-02-15 06:36:30,light
2025-02-15 06:37:30,light
2025-02-15 06:37:30,light
2025-02-15 06:38:30,light
2025-02-15 06:38:30,light
2025-02-15 06:39:30,light
2025-02-15 06:39:30,light
2025-02-15 06:40:30,light
2025-02-15 06:40:30,light
2025-02-15 06:41:30,light
2025-02-15 06:41:30,light
2025-02-15 06:42:30,light
2025-02-15 06:42:30,light
2025-02-15 06:43:30,light
2025-02-15 06:43:30,light
2025-02-15 06:44:30,light
2025-02-15 06:44:30,light
2025-02-15 06:45:30,light
2025-02-15 06:45:30,light
2025-02-15 06:46:30,light
2025-02-15 06:46:30,light
2025-02-15 06:47:30,light
2025-02-15 06:47:30,light
2025-02-15 06:48:30,light
2025-02-15 06:48:30,light
2025-02-15 06:49:30,light
2025-02-15 06:49:30,light
2025-02-15 06:50:30,light
2025-02-15 06:50:30,light
2025-02-15 06:51:30,light
2025-02-15 06:51:30,light
2025-02-15 06:52:30,light
2025-02-15 06:52:30,light
2025-02-15 06:53:30,light
2025-02-15 06:53:30,light
2025-02-15 06:54:30,light
2025-02-15 06:54:30,light
2025-02-15 06:55:30,light
2025-02-15 06:55:30,light
2025-02-15 06:56:30,light
2025-02-15 06:56:30,light
2025-02-15 06:57:30,wake
2025-02-15 06:57:30,wake
2025-02-15 06:58:30,wake
2025-02-15 06:58:30,wake
2025-02-15 06:59:30,wake
2025-02-15 06:59:30,wake
2025-02-15 07:00:30,wake
2025-02-15 07:00:30,wake
2025-02-15 07:01:30,wake
2025-02-15 07:01:30,wake
2025-02-15 07:02:30,wake
2025-02-15 07:02:30,wake
2025-02-15 07:03:30,wake
2025-02-15 07:03:30,wake
2025-02-15 07:04:30,wake
2025-02-15 07:04:30,wake
2025-02-15 07:05:30,wake
2025-02-15 07:05:30,wake
2025-02-15 07:06:30,wake
2025-02-15 07:06:30,wake
2025-02-15 07:07:30,wake
2025-02-15 07:07:30,wake
2025-02-15 07:08:30,wake
2025-02-15 07:08:30,wake
2025-02-15 07:09:30,wake
2025-02-15 07:09:30,wake
2025-02-26 02:45:00,light
2025-02-26 02:46:00,light
2025-02-26 02:47:00,light
2025-02-26 02:48:00,light
2025-02-26 02:49:00,light
2025-02-26 02:50:00,light
2025-02-26 02:51:00,light
2025-02-26 02:52:00,wake
2025-02-26 02:53:00,wake
2025-02-26 02:54:00,wake
2025-02-26 02:55:00,wake
2025-02-26 02:56:30,light
2025-02-26 02:57:30,light
2025-02-26 02:58:30,light
2025-02-26 02:59:30,light
2025-02-26 03:00:30,light
2025-02-26 03:01:30,light
2025-02-26 03:02:30,light
2025-02-26 03:03:30,light
2025-02-26 03:04:30,light
2025-02-26 03:05:30,light
2025-02-26 03:06:30,light
2025-02-26 03:07:30,light
2025-02-26 03:08:30,light
2025-02-26 03:09:30,light
2025-02-26 03:10:30,light
2025-02-26 03:11:30,light
2025-02-26 03:12:30,light
2025-02-26 03:13:30,light
2025-02-26 03:14:30,light
2025-02-26 03:15:30,light
2025-02-26 03:16:30,light
2025-02-26 03:17:30,light
2025-02-26 03:18:30,light
2025-02-26 03:19:30,light
2025-02-26 03:20:30,light
2025-02-26 03:21:30,light
2025-02-26 03:22:30,light
2025-02-26 03:23:30,light
2025-02-26 03:24:30,light
